iter	Passed	Remaining
0	58	58400
1	58	29337
2	59	19666
3	59	14808
4	59	11894
5	60	9956
6	60	8566
7	60	7524
8	60	6715
9	61	6066
10	61	5536
11	61	5095
12	62	4718
13	62	4396
14	62	4118
15	62	3873
16	63	3658
17	63	3467
18	63	3298
19	64	3144
20	64	3006
21	64	2879
22	65	2763
23	65	2657
24	65	2559
25	66	2473
26	66	2392
27	66	2315
28	67	2244
29	67	2180
30	67	2118
31	68	2058
32	68	2001
33	68	1949
34	68	1899
35	69	1852
36	69	1809
37	69	1766
38	70	1725
39	70	1686
40	70	1649
41	70	1614
42	71	1585
43	71	1553
44	72	1537
45	72	1507
46	73	1480
47	73	1453
48	73	1428
49	73	1402
50	74	1378
51	74	1355
52	74	1333
53	74	1313
54	75	1292
55	75	1272
56	75	1252
57	75	1233
58	76	1215
59	76	1198
60	76	1181
61	77	1167
62	77	1152
63	77	1137
64	78	1123
65	78	1110
66	78	1096
67	78	1081
68	79	1069
69	79	1059
70	80	1048
71	80	1037
72	80	1026
73	81	1015
74	81	1005
75	81	995
76	82	986
77	82	977
78	82	967
79	83	957
80	83	947
81	83	938
82	84	928
83	84	919
84	84	908
85	84	899
86	84	889
87	85	881
88	85	872
89	85	864
90	85	856
91	85	848
92	86	843
93	86	835
94	86	828
95	87	821
96	87	814
97	87	807
98	88	800
99	88	794
100	88	788
101	88	780
102	88	774
103	89	768
104	89	762
105	89	757
106	90	751
107	90	745
108	90	740
109	90	735
110	91	729
111	91	724
112	91	720
113	92	715
114	92	710
115	92	705
116	92	700
117	93	696
118	93	690
119	93	686
120	93	681
121	94	678
122	94	672
123	94	668
124	95	665
125	95	660
126	95	657
127	95	652
128	96	649
129	96	645
130	96	641
131	97	638
132	97	634
133	97	630
134	97	627
135	98	623
136	98	620
137	98	616
138	98	612
139	99	608
140	99	605
141	99	602
142	99	598
143	100	596
144	100	592
145	100	589
146	101	586
147	101	583
148	101	580
149	101	577
150	102	574
151	102	571
152	102	568
153	102	565
154	103	562
155	103	559
156	103	556
157	103	554
158	104	551
159	104	549
160	104	546
161	105	544
162	105	541
163	105	539
164	106	536
165	106	534
166	106	532
167	106	529
168	107	526
169	107	524
170	107	522
171	108	519
172	108	517
173	108	515
174	108	513
175	109	511
176	109	509
177	109	507
178	110	505
179	110	503
180	110	501
181	110	498
182	111	496
183	111	494
184	111	492
185	112	490
186	113	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	114	477
194	115	476
195	115	474
196	116	475
197	116	473
198	117	471
199	117	469
200	117	467
201	117	465
202	118	464
203	118	462
204	118	461
205	119	459
206	119	457
207	119	455
208	119	453
209	120	452
210	120	450
211	120	448
212	120	446
213	121	445
214	121	443
215	121	441
216	121	440
217	122	438
218	122	437
219	122	435
220	123	433
221	123	432
222	123	430
223	123	429
224	124	427
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	126	420
231	126	418
232	126	417
233	127	415
234	127	414
235	127	413
236	127	411
237	128	410
238	128	409
239	128	407
240	129	406
241	129	405
242	129	404
243	130	402
244	130	401
245	130	400
246	131	399
247	131	398
248	131	396
249	131	395
250	131	393
251	132	392
252	132	391
253	132	390
254	133	388
255	133	387
256	133	386
257	134	385
258	134	384
259	134	382
260	134	381
261	135	380
262	135	379
263	135	378
264	135	376
265	136	375
266	136	374
267	136	373
268	136	372
269	137	370
270	137	369
271	137	368
272	138	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	141	357
283	141	356
284	141	355
285	141	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	145	340
300	146	339
301	146	338
302	146	337
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	149	331
310	149	331
