iter	Passed	Remaining
0	57	56994
1	57	28636
2	57	19179
3	57	14440
4	58	11598
5	58	9705
6	58	8353
7	59	7339
8	59	6547
9	59	5915
10	60	5401
11	60	4970
12	60	4603
13	60	4289
14	61	4019
15	61	3780
16	61	3570
17	62	3384
18	62	3217
19	62	3071
20	62	2933
21	63	2809
22	63	2698
23	63	2594
24	64	2500
25	64	2412
26	64	2329
27	64	2254
28	65	2184
29	65	2119
30	65	2058
31	66	2000
32	66	1945
33	66	1895
34	66	1847
35	67	1801
36	67	1757
37	67	1717
38	68	1678
39	68	1640
40	68	1604
41	68	1570
42	69	1538
43	69	1510
44	69	1480
45	70	1451
46	70	1424
47	70	1400
48	70	1375
49	71	1351
50	71	1328
51	71	1305
52	71	1283
53	72	1263
54	72	1244
55	72	1225
56	72	1206
57	73	1188
58	73	1171
59	73	1154
60	74	1150
61	75	1134
62	75	1119
63	75	1103
64	75	1089
65	75	1075
66	76	1061
67	76	1048
68	76	1035
69	76	1022
70	77	1010
71	77	998
72	77	986
73	77	975
74	78	964
75	78	953
76	78	943
77	78	933
78	79	922
79	79	913
80	79	904
81	79	894
82	80	883
83	80	875
84	80	866
85	80	858
86	81	853
87	81	846
88	81	839
89	82	832
90	82	824
91	82	817
92	83	809
93	83	802
94	83	795
95	83	788
96	84	782
97	84	775
98	84	769
99	84	763
100	85	757
101	85	751
102	85	745
103	85	739
104	86	733
105	86	727
106	86	722
107	86	716
108	87	712
109	87	707
110	87	702
111	87	697
112	88	692
113	88	687
114	88	682
115	88	677
116	89	672
117	89	668
118	89	663
119	89	659
120	90	654
121	90	650
122	90	646
123	91	642
124	91	639
125	91	635
126	91	630
127	92	627
128	92	623
129	92	620
130	93	616
131	93	614
132	93	610
133	94	607
134	94	603
135	94	600
136	94	597
137	95	594
138	95	592
139	95	589
140	96	586
141	96	582
142	96	579
143	96	576
144	97	573
145	97	570
146	97	567
147	98	564
148	98	561
149	98	558
150	98	555
151	99	552
152	99	550
153	99	548
154	100	545
155	100	542
156	100	540
157	100	537
158	101	534
159	101	532
160	101	528
161	101	527
162	102	524
163	102	522
164	102	519
165	102	516
166	103	514
167	103	512
168	103	510
169	104	507
170	104	505
171	104	503
172	104	501
173	105	498
174	105	496
175	105	494
176	105	492
177	106	490
178	106	488
179	106	486
180	106	483
181	107	482
182	107	480
183	107	478
184	108	476
185	108	474
186	108	472
187	109	470
188	109	468
189	109	466
190	109	465
191	110	463
192	110	461
193	110	459
194	110	457
195	111	456
196	111	454
197	111	452
198	112	450
199	112	449
200	112	447
201	112	445
202	113	444
203	113	442
204	113	440
205	113	439
206	114	437
207	114	435
208	114	434
209	114	432
210	115	430
211	115	429
212	115	427
213	115	425
214	116	424
215	116	422
216	116	421
217	117	419
218	117	418
219	117	416
220	117	415
221	118	414
222	118	412
223	118	411
224	118	409
225	119	408
226	120	409
227	120	407
228	120	406
229	120	404
230	121	403
231	121	401
232	121	400
233	121	399
234	122	397
235	122	396
236	122	395
237	122	393
238	123	392
239	123	390
240	123	389
241	124	388
242	124	387
243	124	386
244	124	384
245	125	383
246	125	382
247	125	380
248	125	379
249	126	378
250	126	377
251	126	376
252	127	375
253	127	373
254	127	372
255	127	371
256	128	370
257	128	369
258	128	367
259	128	366
260	129	365
261	129	364
262	129	363
263	129	362
264	130	361
265	130	360
266	130	358
267	130	357
268	131	356
269	131	355
270	131	354
271	132	353
272	132	352
273	132	351
274	132	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	135	339
286	136	338
287	136	337
288	136	336
289	136	335
290	137	334
291	137	333
292	137	332
293	137	331
294	138	330
295	138	329
296	138	328
297	139	327
298	139	326
299	139	325
300	139	324
301	140	323
302	140	323
303	140	322
304	141	321
305	141	320
306	141	319
307	141	318
308	142	317
309	142	316
310	142	315
311	142	315
312	143	314
313	143	313
314	143	312
315	143	311
316	144	310
317	144	309
318	144	309
319	145	308
320	145	307
321	145	306
322	145	305
323	146	304
324	146	304
325	146	303
326	146	302
327	147	301
328	147	300
329	147	300
330	148	299
331	148	298
332	148	297
333	148	296
334	149	296
335	149	295
336	149	294
337	149	293
338	150	292
339	150	292
340	150	291
341	151	290
342	151	289
343	151	288
344	151	288
345	152	287
346	152	286
347	152	285
348	152	285
349	153	284
350	153	283
351	153	282
352	153	281
353	154	281
354	154	280
355	154	279
356	154	279
357	155	278
358	155	277
359	155	276
360	155	276
361	156	275
362	156	274
363	156	274
364	157	273
365	157	272
366	157	271
367	157	271
368	158	270
369	158	269
370	158	269
371	158	268
372	159	267
373	159	267
374	159	266
375	160	265
376	160	264
377	160	264
378	160	263
379	161	262
380	161	262
381	161	261
382	161	260
383	162	260
384	162	259
385	162	258
386	162	258
387	163	257
388	163	256
389	163	256
390	164	255
391	164	254
392	164	254
